rid,x,y,KMeans_Labels
-1060235883#1,6638.946666666667,4113.796666666666,19
-1060235883#2,6721.264999999999,4104.13,19
-1060235883#3,6791.525,4094.385,19
-1060235883#6,6863.335,4082.6475,19
-1060235884#1,5617.603333333333,4661.740000000001,23
-1060235884#2,5613.885,4622.485000000001,23
-1060235884#4,5605.666666666667,4578.233333333334,23
-1060235885#1,5616.93,4547.3966666666665,23
-1060235885#2,5650.45,4534.965,23
-1060235885#3,5676.195,4524.455,23
-1060235885#4,5743.323333333334,4495.206666666666,18
-1060235885#5,5788.77,4475.139999999999,18
-1080435559,6919.2266666666665,4015.66,19
-1122405187#0,4633.38,1961.1514285714288,7
-1122405187#1,4613.085,2157.335,7
-1122405187#3,4609.536666666667,2211.4866666666667,7
-1123373676#0,5234.49,1621.1314285714286,7
-1123373676#2,4978.42,1593.6233333333332,7
-1126127266#1,4805.99,1649.8739999999998,7
-1126198220#1,3994.592,1880.702,6
-1126198220#2,4021.786666666667,1885.723333333333,6
-1128007851#1,3533.306,1139.982,0
-1128007851#2,3566.98,1138.503333333333,1
-1128007851#3,3562.7566666666667,1135.8866666666663,0
-1128007855#0,3946.742222222222,1593.7222222222222,6
-1128007855#2,4012.422857142857,1497.412857142857,1
-1137227887#1,3575.5075,1674.385,6
-1137227887#2,3588.0033333333336,1663.46,6
-1137227887#3,3588.75,1653.5308333333332,6
-1137231187#1,3581.3716666666664,1709.9566666666667,6
-1144401618,7057.895,4238.875,19
-1144401619#1,6923.496666666666,4249.906666666667,19
-1144401620#1,6895.546666666666,4334.27,19
-1144401620#2,6899.625,4304.585,19
-1144401620#3,6900.955,4268.389999999999,19
-1144401621,6998.205,3692.525,19
-1145582009#1,6959.086666666667,4267.59,19
-1145582009#2,6960.735000000001,4314.985000000001,19
-1151903593,6994.76,4540.17,24
-115591837#0,4319.27,4506.91,21
-115591837#10,4284.905,4140.37,16
-115591837#2,4311.503333333333,4441.733333333334,16
-115591837#3,4309.23,4400.305,16
-115591837#4,4306.385,4369.905000000001,16
-115591837#5,4302.84,4331.969999999999,16
-115591837#6,4299.225,4293.34,16
-115591837#7,4297.625,4276.295,16
-115591837#8,4295.83,4257.07,16
-115591837#9,4291.41,4209.855,16
-115591838,4380.885,4009.83,16
-115591839#1,4366.583333333333,3968.8866666666654,16
-115591839#3,4370.45,3930.273333333333,16
-115591839#5,4376.223333333334,3872.723333333333,16
-115591839#7,4384.3125,3798.13,16
-115591840#3,4824.652,3963.646,17
-115591841#0,4315.865,3677.7,16
-115591841#11,4286.0233333333335,3960.163333333333,16
-115591841#13,4279.185,4021.4475,16
-115591841#2,4311.166666666667,3732.006666666666,16
