node1,node2
335,2616
335,2926
335,3997
335,7152
335,7558
336,365
336,372
336,4027
336,4036
337,387
337,1735
337,4051
337,5914
338,4004
338,5859
338,5884
339,2612
339,4003
339,5883
339,7147
340,365
340,372
340,4029
340,4034
341,385
341,1737
341,4051
341,5914
342,360
342,1692
342,4023
342,5840
343,4009
343,4674
343,5133
343,5758
343,6949
344,3692
344,4015
344,4741
344,6398
344,7183
345,2458
345,4010
345,5694
345,5757
345,6950
346,971
346,4009
346,4011
346,4729
346,6938
347,952
347,972
347,4010
347,4012
347,4705
347,4728
348,953
348,4011
348,4013
348,4687
348,4704
349,1473
349,4012
349,4014
349,4686
349,5482
350,1474
350,4013
350,4015
350,4692
350,5481
351,944
351,4008
351,4014
351,4742
352,409
352,2921
352,4017
352,4072
352,7550
353,410
353,4016
353,4071
354,3057
354,4019
354,7832
355,390
355,4018
355,6541
356,4021
356,5884
357,2614
357,4020
357,4022
357,4716
358,959
358,4021
358,4712
358,7148
359,4007
359,4024
359,5878
360,342
360,3031
360,4023
360,7746
361,3997
361,4026
361,4040
362,334
362,4025
362,7568
363,413
363,3045
363,5255
363,7834
364,417
364,4001
364,4028
365,336
365,340
365,4027
365,4029
366,1380
366,4005
366,4028
366,5253
367,393
367,3052
367,4031
367,4091
367,7839
368,394
368,4030
368,4032
368,7582
369,4031
369,4033
369,4257
369,7581
370,554
370,1722
370,2216
370,4032
370,4281
371,1380
371,4005
371,4035
371,5251
372,336
372,340
372,4034
372,4036
373,417
373,4001
373,4035
373,4047
374,2953
374,4038
374,7164
374,7608
375,4037
375,6539
375,7163
376,410
376,4044
376,4073
377,411
377,1349
377,4043
377,4072
377,7550
377,7555
378,414
378,3048
378,4046
378,7835
379,415
379,1381
379,4045
379,5254
380,405
380,4070
381,408
381,2922
381,4068
381,7553
382,418
382,3995
382,4036
382,4048
383,332
383,4047
383,4049
383,6072
384,1839
384,4048
385,341
385,1348
385,4051
385,5174
386,4002
386,4006
386,4050
386,4052
387,337
387,4051
387,4053
388,4052
388,4054
388,4075
388,5774
389,4040
389,4053
390,355
390,1351
390,4018
390,5179
391,425
391,5222
392,4101
392,5221
393,367
393,434
393,4031
394,368
394,4030
394,4250
395,4249
395,4270
396,566
396,5457
397,403
397,1352
397,4056
397,5178
398,404
398,1383
398,4055
398,5772
399,4090
399,5255
400,419
400,4080
401,4065
401,4079
402,4064
402,4095
403,397
403,3045
403,4056
403,7845
404,398
404,4055
404,6543
404,6557
405,380
405,1667
405,4070
405,5799
406,2954
406,4069
406,4073
406,7163
406,7609
407,4074
407,6540
407,7162
408,381
408,3993
408,4068
408,4071
409,352
409,3992
409,4017
409,4070
409,4072
410,353
410,376
410,4016
410,4044
410,4071
410,4073
411,377
411,2953
411,4043
411,4072
411,4074
411,7610
412,1350
412,5171
413,363
413,4084
414,378
414,4046
414,4082
415,379
415,4045
415,4057
416,4027
417,364
417,373
417,4047
418,382
418,4036
418,5225
419,400
419,1727
419,5895
420,1835
420,3051
420,4030
420,7840
421,4066
421,4078
422,1830
422,1834
422,4093
423,427
423,1831
423,3626
423,6071
424,2215
424,6546
424,7580
425,391
425,6538
426,4064
426,4080
427,423
427,1833
427,6071
428,434
428,4102
428,5220
429,2928
429,4104
429,7559
430,436
430,4102
430,5220
431,945
431,4692
431,4741
432,4740
432,7184
433,439
433,3691
434,393
434,428
434,4102
435,4097
435,4099
435,4101
435,4103
436,430
436,4102
436,7580
437,4066
437,4078
437,5894
438,1372
438,4100
438,6398
439,433
439,2306
439,6713
440,2307
440,7554
441,4110
441,6270
441,7787
442,4109
442,4111
442,5300
442,6269
443,4110
443,4112
443,4148
443,5318
444,479
444,4111
444,4113
444,7702
445,78
445,3622
445,4112
445,4114
445,7701
446,79
446,3621
446,4113
446,4115
446,4144
447,475
447,491
447,4114
447,4162
448,502
448,4117
448,4173
448,7789
449,503
449,4116
449,4120
449,4172
449,6272
450,485
450,4119
450,4126
450,7691
451,75
451,3619
451,4118
451,4154
452,482
452,487
452,4117
452,4121
452,6271
453,4120
453,4122
453,4151
453,4157
453,5316
454,477
454,4121
454,4123
454,5315
455,481
455,4122
455,4124
455,4146
456,484
456,4123
456,4125
456,4150
457,483
457,4124
457,4126
457,4153
458,4118
458,4125
458,4152
458,7692
459,501
459,4136
459,4172
459,6086
459,7718
459,7790
460,4130
460,4143
460,4154
460,7692
461,74
461,485
461,3618
461,4129
461,4131
462,75
462,3617
462,4130
462,4132
462,4159
463,489
463,1743
463,4131
463,4133
463,5922
464,1744
464,4132
464,4134
464,5921
465,4133
465,4135
465,4155
465,4174
466,504
466,528
466,4134
466,4205
467,502
467,4128
467,4137
467,4171
467,6273
468,4136
468,4138
468,4157
468,6272
469,487
469,4137
469,4139
469,5315
470,486
470,4138
470,4140
470,5314
471,4139
471,4141
471,4146
471,4156
472,477
472,4140
472,4142
472,4150
473,481
473,4141
473,4143
473,4153
474,484
474,4129
474,4142
474,7693
475,447
475,513
475,4114
475,4189
476,505
476,527
476,4174
476,4204
477,454
477,472
477,4123
477,4140
478,506
478,526
478,4175
478,4203
479,444
479,507
479,4111
479,4178
480,79
480,3623
480,7700
481,455
481,473
481,4124
481,4141
482,452
482,487
482,4121
483,457
483,4126
484,456
484,474
484,4125
484,4142
485,450
485,461
485,4119
485,4129
486,470
486,523
486,4140
486,4197
487,452
487,469
487,482
487,4121
487,4137
488,550
488,4244
489,463
489,525
489,4131
489,4160
490,3065
490,4159
490,4200
490,7852
491,447
491,515
491,4162
491,4189
492,548
492,4115
492,4161
492,4244
493,4164
493,5312
493,6275
494,4163
494,6274
494,7793
495,4166
495,6268
495,7785
496,536
496,4165
496,4167
496,6267
497,4166
497,4168
497,4216
497,5302
498,500
498,4167
498,4187
498,5301
498,7699
499,81
499,1741
499,3616
499,4170
499,5918
500,73
500,498
500,3624
500,4169
500,4187
500,7699
501,459
501,520
501,4136
501,4172
501,4194
502,448
502,467
502,4117
502,4128
502,4171
502,4173
503,449
503,543
503,4116
503,4172
503,4239
504,466
504,4134
504,4145
504,4175
505,476
505,4147
505,4174
505,4176
506,478
506,545
506,4175
506,4241
507,479
507,4178
507,7699
508,4148
508,4177
508,4179
508,5301
509,4178
509,4180
509,5300
509,6269
510,4179
510,6268
510,7787
511,5316
511,7690
512,80
512,3624
512,4168
512,4170
512,4188
512,7698
513,81
513,475
513,3623
513,4187
513,4189
514,4144
514,4161
514,4188
514,4190
515,491
515,1741
515,4189
515,4191
515,5920
516,1742
516,4190
516,4192
516,5919
516,6100
517,1868
517,4191
517,4193
517,6108
518,534
518,1876
518,4192
518,4211
519,4171
519,4195
519,7791
520,501
520,4194
520,4196
520,6274
521,4195
521,4197
521,5314
521,6273
522,4156
522,4196
522,4198
522,5313
523,486
523,4197
523,4199
523,7694
524,72
524,3617
524,4198
524,4200
524,7693
525,74
525,489
525,3615
525,4160
525,4199
526,478
526,545
526,4127
526,4203
526,4211
527,476
527,4147
527,4202
527,4204
528,466
528,4145
528,4203
528,4205
529,3067
529,4135
529,4204
529,4206
529,8469
530,3488
530,4205
530,4207
530,7853
531,4186
531,4206
531,4208
531,4212
532,3593
532,4209
533,4201
533,4210
533,7804
533,7822
534,518
534,4209
534,4211
534,7803
534,7821
535,541
535,4193
535,4202
535,4210
535,4240
536,496
536,4167
536,7813
537,4234
537,7722
538,3058
538,3139
538,4227
538,7015
538,7963
539,3135
539,3140
539,4226
539,4228
539,7959
539,7962
540,3136
540,4227
540,7807
540,7958
541,535
541,3672
541,3675
541,4202
541,4240
542,4238
542,4247
542,5317
542,6271
543,503
543,4237
543,4239
543,6270
544,4173
544,4238
544,7014
544,7720
544,7789
545,506
545,526
545,4127
545,4211
545,4241
546,4155
546,4176
546,4240
546,4242
547,1742
547,4241
547,4243
547,5921
548,492
548,1743
548,4242
548,4244
548,5920
549,4158
549,4162
549,4243
549,4245
550,77
550,488
550,3621
550,4244
550,4246
551,78
551,3620
551,4245
551,4247
551,7703
552,4237
552,4246
552,5318
552,7702
553,7165
554,370
554,4032
554,4253
555,577
555,1865
555,6096
555,7169
556,4248
556,4260
